date,country_code,country,sector,pay_transparency_pct,pay_transparency_pct_3ma
2020-07-01,US,United States,Project Management,12.784151264074783,12.162182885848486
2020-07-01,US,United States,Retail,10.064954186305856,9.875274717772497
2020-07-01,US,United States,Sales,19.106340710537086,18.954778080447486
2020-07-01,US,United States,Scientific Research & Development,6.683580586435295,6.192865570445979
2020-07-01,US,United States,Security & Public Safety,30.1203560775757,30.123017460765094
2020-07-01,US,United States,Social Science,24.339430894308943,22.438697373266848
2020-07-01,US,United States,Software Development,7.743403093721565,7.630598909285965
2020-07-01,US,United States,Therapy,21.857178904870047,20.465714730642542
2020-08-01,US,United States,Accounting,21.034089023783267,20.831222648329916
2020-08-01,US,United States,Administrative Assistance,30.850932138347652,30.096786952084955
2020-08-01,US,United States,Architecture,23.50887999178729,21.930083963340206
2020-08-01,US,United States,Arts & Entertainment,20.858346498156923,19.53643578057776
2020-08-01,US,United States,Aviation,15.476190476190476,14.940497991655116
2020-08-01,US,United States,Banking & Finance,12.6451561055973,12.105174932123168
2020-08-01,US,United States,Childcare,58.91553373615307,53.29596585789239
2020-08-01,US,United States,Civil Engineering,17.205273069679848,16.28628437367897
2020-08-01,US,United States,Cleaning & Sanitation,37.59262174184258,36.059690794517564
2020-08-01,US,United States,Community & Social Service,30.267971276589478,29.302951735141807
2020-08-01,US,United States,Construction,49.71853904171339,47.91939044332144
2020-08-01,US,United States,Customer Service,20.547050187942634,19.847489357615814
2020-08-01,US,United States,Data & Analytics,6.589254958608811,6.623073698348527
2020-08-01,US,United States,Dental,44.50209454143364,43.41415668045687
2020-08-01,US,United States,Driving,40.04217113317916,36.37444332155315
2020-08-01,US,United States,Education & Instruction,27.204371834854513,22.727297933100562
2020-08-01,US,United States,Electrical Engineering,13.163040050457269,12.441016343662016
2020-08-01,US,United States,Food Preparation & Service,16.322696989430447,14.850170149354811
2020-08-01,US,United States,Hospitality & Tourism,24.785738772711692,22.593478608912545
2020-08-01,US,United States,Human Resources,16.85861713106295,16.581996711925992
2020-08-01,US,United States,"IT Infrastructure, Operations & Support",14.656190926275992,14.1993055152403
2020-08-01,US,United States,IT Systems & Solutions,7.954872779644743,7.929016238008013
2020-08-01,US,United States,Industrial Engineering,6.081833636203764,6.20064105682665
2020-08-01,US,United States,Installation & Maintenance,32.11003822212043,31.366764846500477
2020-08-01,US,United States,Insurance,36.83099374050891,34.22914612924012
2020-08-01,US,United States,Legal,26.396046807736617,23.922246775054685
2020-08-01,US,United States,Loading & Stocking,29.107392784775755,28.242382172708016
2020-08-01,US,United States,Logistic Support,25.046923879040666,22.206810815614997
2020-08-01,US,United States,Management,9.820975239853615,9.10033744513865
2020-08-01,US,United States,Marketing,19.708094878162903,19.48401070570738
2020-08-01,US,United States,Mechanical Engineering,12.139068945197407,11.558017813977358
2020-08-01,US,United States,Media & Communications,23.051964013568654,22.986432385821995
2020-08-01,US,United States,Medical Information,14.780671215708118,15.24071135542495
2020-08-01,US,United States,Medical Technician,13.413556438358427,13.358429042668142
2020-08-01,US,United States,Nursing,15.098742567501706,14.64263173760069
2020-08-01,US,United States,Personal Care & Home Health,31.711425095910922,30.229743527300133
2020-08-01,US,United States,Pharmacy,10.03517429651407,9.777714920672038
2020-08-01,US,United States,Physicians & Surgeons,11.555903049257232,10.936003575936804
2020-08-01,US,United States,Production & Manufacturing,31.258663823155473,29.96942179661788
2020-08-01,US,United States,Project Management,13.261721389001485,12.810577351287014
2020-08-01,US,United States,Retail,11.500005469681556,10.55087042274229
2020-08-01,US,United States,Sales,20.397771672002218,19.587692331840476
2020-08-01,US,United States,Scientific Research & Development,7.988975515828818,6.936594051176759
2020-08-01,US,United States,Security & Public Safety,30.61261039411679,30.448271150484526
2020-08-01,US,United States,Social Science,25.985401459854014,23.973938145089846
2020-08-01,US,United States,Software Development,7.896683784489511,7.789299593326985
2020-08-01,US,United States,Therapy,22.732826819143103,21.845341850658798
2020-09-01,US,United States,Accounting,17.726386646766777,19.82801530320553
2020-09-01,US,United States,Administrative Assistance,31.590878991609735,30.746334109189604
2020-09-01,US,United States,Architecture,24.88880293947012,23.387483221146358
2020-09-01,US,United States,Arts & Entertainment,20.669012475437555,20.125204691499196
2020-09-01,US,United States,Aviation,17.05253784505788,15.955574553081233
2020-09-01,US,United States,Banking & Finance,12.53828690857987,12.379931304476495
2020-09-01,US,United States,Childcare,59.487892620695916,57.02377868815662
2020-09-01,US,United States,Civil Engineering,17.297414415715732,16.926123263812226
2020-09-01,US,United States,Cleaning & Sanitation,38.42865296803653,37.31188914016611
2020-09-01,US,United States,Community & Social Service,31.891426158604087,30.57242149086
2020-09-01,US,United States,Construction,50.54851421876664,49.13389460917222
2020-09-01,US,United States,Customer Service,20.90030709310164,20.379563876203303
2020-09-01,US,United States,Data & Analytics,6.731720010408535,6.635916140566586
2020-09-01,US,United States,Dental,45.19276126763583,43.86546200811235
2020-09-01,US,United States,Driving,43.5294454321394,39.7427922869268
2020-09-01,US,United States,Education & Instruction,29.16303297428524,26.31956961763891
2020-09-01,US,United States,Electrical Engineering,14.009690380524697,13.038202085536481
2020-09-01,US,United States,Food Preparation & Service,17.09376270964585,15.999049584003101
2020-09-01,US,United States,Hospitality & Tourism,23.606893721789085,23.62560052857368
2020-09-01,US,United States,Human Resources,17.713850257191847,17.030750245119474
2020-09-01,US,United States,"IT Infrastructure, Operations & Support",15.335886859163228,14.691549491768889
2020-09-01,US,United States,IT Systems & Solutions,8.541131890966874,8.135286032568809
2020-09-01,US,United States,Industrial Engineering,6.6354388979738905,6.318022904368885
2020-09-01,US,United States,Installation & Maintenance,32.76001428598282,31.948044873755453
2020-09-01,US,United States,Insurance,33.26505103812235,34.178441191545936
2020-09-01,US,United States,Legal,26.16316310487393,25.258888025239212
2020-09-01,US,United States,Loading & Stocking,29.505895207602784,28.76445218948254
2020-09-01,US,United States,Logistic Support,26.41051333436103,24.229115455946385
